module,declaration,path,line,android,desktop
cupertino,val CupertinoIcons.Outlined.MagnifyingGlass: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/MagnifyingGlass.kt,33,common source,common source
cupertino,public val CupertinoIcons.Outlined.Mappin: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/Mappin.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.Paperplane: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/Paperplane.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.Pencil: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/Pencil.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.Person: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/Person.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.PersonCropCircle: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/PersonCropCircle.kt,34,common source,common source
cupertino,public val CupertinoIcons.Outlined.PersonCropSquare: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/PersonCropSquare.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.Phone: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/Phone.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.Play: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/Play.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.Plus: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/Plus.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.PlusCircle: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/PlusCircle.kt,34,common source,common source
cupertino,public val CupertinoIcons.Outlined.RectanglePortraitAndArrowForward: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/RectanglePortraitAndArrowForward.kt,34,common source,common source
cupertino,public val CupertinoIcons.Outlined.SquareAndArrowUp: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/SquareAndArrowUp.kt,34,common source,common source
cupertino,public val CupertinoIcons.Outlined.SquareAndPencil: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/SquareAndPencil.kt,34,common source,common source
cupertino,public val CupertinoIcons.Outlined.Star: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/Star.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.Trash: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/Trash.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.WrenchAndScrewdriver: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/WrenchAndScrewdriver.kt,34,common source,common source
cupertino,public val CupertinoIcons.Outlined.Xmark: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/Xmark.kt,31,common source,common source
cupertino,public val CupertinoIcons.Outlined.XmarkCircle: ImageVector,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/icons/outlined/XmarkCircle.kt,34,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.AccountBox,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,116,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.AccountCircle,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,122,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Add,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,128,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.AddCircle,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,134,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Build,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,158,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Call,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,164,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Check,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,170,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.CheckCircle,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,176,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Clear,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,182,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Close,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,188,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Create,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,194,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.DateRange,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,200,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Delete,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,206,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Done,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,212,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Edit,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,218,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Email,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,224,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.ExitToApp,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,230,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Face,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,236,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Favorite,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,242,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.FavoriteBorder,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,248,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Home,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,254,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Info,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,260,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.KeyboardArrowDown,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,266,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.KeyboardArrowLeft,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,272,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.KeyboardArrowRight,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,278,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.KeyboardArrowUp,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,285,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.List,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,291,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.LocationOn,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,297,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Lock,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,303,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.MailOutline,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,309,common source,common source
cupertino-adaptive,val AdaptiveIcons.Outlined.Menu,cupertino-adaptive/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/adaptive/icons/AdaptiveIcons.kt,315,common source,common source
